Frei verwendbar Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 24Jan23 XETR 76,500 19.15947 EUR XETR
2023-01-24T14:25:13.56Z 146 19.08500 EUR XETR
2023-01-24T14:26:56.67Z 163 19.09500 EUR XETR
2023-01-24T14:29:00.20Z 132 19.08500 EUR XETR
2023-01-24T14:30:04.21Z 177 19.09000 EUR XETR
2023-01-24T14:30:47.69Z 136 19.06000 EUR XETR
2023-01-24T14:32:03.61Z 186 19.06500 EUR XETR
2023-01-24T14:33:37.14Z 177 19.07500 EUR XETR
2023-01-24T14:34:11.03Z 236 19.06500 EUR XETR
2023-01-24T14:34:11.04Z 218 19.06500 EUR XETR
2023-01-24T14:35:30.49Z 143 19.07500 EUR XETR
2023-01-24T14:36:19.73Z 269 19.06000 EUR XETR
2023-01-24T14:36:56.25Z 243 19.06500 EUR XETR
2023-01-24T14:37:12.40Z 131 19.07000 EUR XETR
2023-01-24T14:38:50.48Z 176 19.06500 EUR XETR
2023-01-24T14:38:52.78Z 170 19.06000 EUR XETR
2023-01-24T14:40:30.49Z 158 19.05500 EUR XETR
2023-01-24T14:40:30.64Z 159 19.05000 EUR XETR
2023-01-24T14:41:49.12Z 137 19.05500 EUR XETR
2023-01-24T14:42:33.21Z 149 19.08000 EUR XETR
2023-01-24T14:43:02.00Z 224 19.07000 EUR XETR
2023-01-24T14:43:02.02Z 239 19.07000 EUR XETR
2023-01-24T14:43:53.01Z 141 19.06500 EUR XETR
2023-01-24T14:45:00.04Z 185 19.05000 EUR XETR
2023-01-24T14:45:30.02Z 65 19.07500 EUR XETR
2023-01-24T14:45:30.02Z 127 19.07500 EUR XETR
2023-01-24T14:47:11.42Z 140 19.08000 EUR XETR
2023-01-24T14:47:43.36Z 191 19.09000 EUR XETR
2023-01-24T14:48:15.23Z 140 19.10000 EUR XETR
2023-01-24T14:48:28.71Z 98 19.09500 EUR XETR
2023-01-24T14:48:38.24Z 247 19.10500 EUR XETR
2023-01-24T14:49:09.82Z 135 19.09500 EUR XETR
2023-01-24T14:49:47.24Z 187 19.08500 EUR XETR
2023-01-24T14:50:28.03Z 196 19.09000 EUR XETR
2023-01-24T14:51:26.72Z 210 19.10000 EUR XETR
2023-01-24T14:52:11.50Z 273 19.10000 EUR XETR
2023-01-24T14:54:33.06Z 149 19.12500 EUR XETR
2023-01-24T14:54:33.08Z 268 19.12500 EUR XETR
2023-01-24T14:55:18.84Z 133 19.13000 EUR XETR
2023-01-24T14:56:07.63Z 135 19.14500 EUR XETR
2023-01-24T14:56:54.16Z 137 19.11500 EUR XETR
2023-01-24T14:57:48.34Z 191 19.09000 EUR XETR
